ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,9/17/2020 12:00:00 AM,$0.65,$0.67,$0.65,$0.66,7998
Democratic,9/17/2020 12:00:00 AM,$0.35,$0.36,$0.34,$0.36,3561
Republican,9/18/2020 12:00:00 AM,$0.66,$0.67,$0.66,$0.66,7684
Democratic,9/18/2020 12:00:00 AM,$0.36,$0.36,$0.34,$0.34,7193
Republican,9/19/2020 12:00:00 AM,$0.66,$0.68,$0.66,$0.68,10146
Democratic,9/19/2020 12:00:00 AM,$0.34,$0.35,$0.33,$0.33,6309
Republican,9/20/2020 12:00:00 AM,$0.68,$0.68,$0.66,$0.67,7274
Democratic,9/20/2020 12:00:00 AM,$0.33,$0.34,$0.33,$0.33,6624
Republican,9/21/2020 12:00:00 AM,$0.67,$0.68,$0.65,$0.66,10710
Democratic,9/21/2020 12:00:00 AM,$0.33,$0.35,$0.33,$0.35,4159
Republican,9/22/2020 12:00:00 AM,$0.66,$0.67,$0.64,$0.66,12364
Democratic,9/22/2020 12:00:00 AM,$0.35,$0.37,$0.34,$0.36,12460
Republican,9/23/2020 12:00:00 AM,$0.66,$0.69,$0.64,$0.67,35418
Democratic,9/23/2020 12:00:00 AM,$0.36,$0.36,$0.32,$0.34,15259
Republican,9/24/2020 12:00:00 AM,$0.67,$0.68,$0.66,$0.66,11899
Democratic,9/24/2020 12:00:00 AM,$0.34,$0.35,$0.33,$0.34,7894
Republican,9/25/2020 12:00:00 AM,$0.66,$0.68,$0.66,$0.67,10093
Democratic,9/25/2020 12:00:00 AM,$0.34,$0.35,$0.33,$0.34,2409
Republican,9/26/2020 12:00:00 AM,$0.67,$0.68,$0.66,$0.67,1232
Democratic,9/26/2020 12:00:00 AM,$0.34,$0.34,$0.33,$0.34,3094
Republican,9/27/2020 12:00:00 AM,$0.67,$0.68,$0.66,$0.68,3635
Democratic,9/27/2020 12:00:00 AM,$0.34,$0.34,$0.33,$0.34,5955
Republican,9/28/2020 12:00:00 AM,$0.68,$0.68,$0.66,$0.67,8074
Democratic,9/28/2020 12:00:00 AM,$0.34,$0.35,$0.33,$0.35,5162
Republican,9/29/2020 12:00:00 AM,$0.67,$0.67,$0.62,$0.63,38125
Democratic,9/29/2020 12:00:00 AM,$0.35,$0.40,$0.34,$0.40,21846
Republican,9/30/2020 12:00:00 AM,$0.63,$0.63,$0.59,$0.62,31432
Democratic,9/30/2020 12:00:00 AM,$0.40,$0.43,$0.39,$0.41,19665
Republican,10/1/2020 12:00:00 AM,$0.62,$0.62,$0.56,$0.57,22271
Democratic,10/1/2020 12:00:00 AM,$0.41,$0.45,$0.40,$0.44,17479
Republican,10/2/2020 12:00:00 AM,$0.57,$0.59,$0.50,$0.57,47065
Democratic,10/2/2020 12:00:00 AM,$0.44,$0.50,$0.43,$0.45,41948
Republican,10/3/2020 12:00:00 AM,$0.57,$0.58,$0.55,$0.58,15198
Democratic,10/3/2020 12:00:00 AM,$0.45,$0.46,$0.43,$0.44,8006
Republican,10/4/2020 12:00:00 AM,$0.58,$0.59,$0.57,$0.58,8271
Democratic,10/4/2020 12:00:00 AM,$0.44,$0.45,$0.43,$0.43,7647
Republican,10/5/2020 12:00:00 AM,$0.58,$0.59,$0.56,$0.59,20978
Democratic,10/5/2020 12:00:00 AM,$0.43,$0.46,$0.43,$0.44,18048
Republican,10/6/2020 12:00:00 AM,$0.59,$0.59,$0.56,$0.56,23195
Democratic,10/6/2020 12:00:00 AM,$0.44,$0.45,$0.42,$0.43,17352
Republican,10/7/2020 12:00:00 AM,$0.56,$0.59,$0.55,$0.56,14926
Democratic,10/7/2020 12:00:00 AM,$0.43,$0.46,$0.43,$0.45,14040
Republican,10/8/2020 12:00:00 AM,$0.56,$0.57,$0.54,$0.55,24775
Democratic,10/8/2020 12:00:00 AM,$0.45,$0.47,$0.44,$0.47,16710
Republican,10/9/2020 12:00:00 AM,$0.55,$0.58,$0.54,$0.57,31890
Democratic,10/9/2020 12:00:00 AM,$0.47,$0.47,$0.44,$0.45,21470
Republican,10/10/2020 12:00:00 AM,$0.57,$0.61,$0.57,$0.59,21848
Democratic,10/10/2020 12:00:00 AM,$0.45,$0.45,$0.42,$0.42,14512
Republican,10/11/2020 12:00:00 AM,$0.59,$0.61,$0.57,$0.59,14141
Democratic,10/11/2020 12:00:00 AM,$0.42,$0.45,$0.42,$0.44,16684
Republican,10/12/2020 12:00:00 AM,$0.59,$0.60,$0.57,$0.59,18581
Democratic,10/12/2020 12:00:00 AM,$0.44,$0.45,$0.42,$0.43,18079
Republican,10/13/2020 12:00:00 AM,$0.59,$0.62,$0.59,$0.59,23183
Democratic,10/13/2020 12:00:00 AM,$0.43,$0.44,$0.40,$0.41,23861
Republican,10/14/2020 12:00:00 AM,$0.59,$0.61,$0.55,$0.55,43857
Democratic,10/14/2020 12:00:00 AM,$0.41,$0.45,$0.40,$0.45,48897
Republican,10/15/2020 12:00:00 AM,$0.55,$0.58,$0.55,$0.58,35393
Democratic,10/15/2020 12:00:00 AM,$0.45,$0.46,$0.43,$0.44,27319
Republican,10/16/2020 12:00:00 AM,$0.58,$0.58,$0.55,$0.57,20620
Democratic,10/16/2020 12:00:00 AM,$0.44,$0.46,$0.43,$0.45,23807
Republican,10/17/2020 12:00:00 AM,$0.57,$0.58,$0.56,$0.58,25309
Democratic,10/17/2020 12:00:00 AM,$0.45,$0.46,$0.44,$0.45,16637
Republican,10/18/2020 12:00:00 AM,$0.58,$0.59,$0.57,$0.58,24874
Democratic,10/18/2020 12:00:00 AM,$0.45,$0.45,$0.42,$0.43,26120
Republican,10/19/2020 12:00:00 AM,$0.58,$0.63,$0.58,$0.62,51325
Democratic,10/19/2020 12:00:00 AM,$0.43,$0.43,$0.40,$0.41,40909
Republican,10/20/2020 12:00:00 AM,$0.62,$0.62,$0.59,$0.60,45584
Democratic,10/20/2020 12:00:00 AM,$0.41,$0.42,$0.40,$0.40,37900
Republican,10/21/2020 12:00:00 AM,$0.60,$0.62,$0.60,$0.62,41966
Democratic,10/21/2020 12:00:00 AM,$0.40,$0.42,$0.39,$0.41,24788
Republican,10/22/2020 12:00:00 AM,$0.62,$0.63,$0.58,$0.62,46152
Democratic,10/22/2020 12:00:00 AM,$0.41,$0.42,$0.40,$0.40,26871
Republican,10/23/2020 12:00:00 AM,$0.62,$0.65,$0.61,$0.63,88699
Democratic,10/23/2020 12:00:00 AM,$0.40,$0.42,$0.37,$0.38,62582
Republican,10/24/2020 12:00:00 AM,$0.63,$0.66,$0.63,$0.65,65477
Democratic,10/24/2020 12:00:00 AM,$0.38,$0.38,$0.36,$0.37,49049
Republican,10/25/2020 12:00:00 AM,$0.65,$0.65,$0.61,$0.62,42140
Democratic,10/25/2020 12:00:00 AM,$0.37,$0.42,$0.37,$0.42,35024
Republican,10/26/2020 12:00:00 AM,$0.62,$0.64,$0.59,$0.63,70600
Democratic,10/26/2020 12:00:00 AM,$0.42,$0.43,$0.39,$0.39,45197
Republican,10/27/2020 12:00:00 AM,$0.63,$0.64,$0.61,$0.64,83806
Democratic,10/27/2020 12:00:00 AM,$0.39,$0.41,$0.37,$0.38,45764
Republican,10/28/2020 12:00:00 AM,$0.64,$0.65,$0.56,$0.58,115639
Democratic,10/28/2020 12:00:00 AM,$0.38,$0.46,$0.36,$0.44,95114
Republican,10/29/2020 12:00:00 AM,$0.58,$0.58,$0.54,$0.57,95828
Democratic,10/29/2020 12:00:00 AM,$0.44,$0.48,$0.43,$0.47,79906
Republican,10/30/2020 12:00:00 AM,$0.57,$0.58,$0.52,$0.58,121905
Democratic,10/30/2020 12:00:00 AM,$0.47,$0.49,$0.44,$0.47,74552
Republican,10/31/2020 12:00:00 AM,$0.58,$0.62,$0.55,$0.60,126783
Democratic,10/31/2020 12:00:00 AM,$0.47,$0.48,$0.41,$0.42,86258
Republican,11/1/2020 12:00:00 AM,$0.60,$0.62,$0.57,$0.60,139318
Democratic,11/1/2020 12:00:00 AM,$0.42,$0.44,$0.40,$0.42,94113
