ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,9/17/2020 12:00:00 AM,$0.29,$0.30,$0.28,$0.29,8052
Democratic,9/17/2020 12:00:00 AM,$0.71,$0.74,$0.71,$0.73,8983
Republican,9/18/2020 12:00:00 AM,$0.29,$0.30,$0.28,$0.29,4824
Democratic,9/18/2020 12:00:00 AM,$0.73,$0.74,$0.72,$0.74,7293
Republican,9/19/2020 12:00:00 AM,$0.29,$0.30,$0.28,$0.29,10645
Democratic,9/19/2020 12:00:00 AM,$0.74,$0.74,$0.72,$0.73,10463
Republican,9/20/2020 12:00:00 AM,$0.29,$0.31,$0.29,$0.29,13176
Democratic,9/20/2020 12:00:00 AM,$0.73,$0.74,$0.70,$0.72,11274
Republican,9/21/2020 12:00:00 AM,$0.29,$0.31,$0.28,$0.31,12336
Democratic,9/21/2020 12:00:00 AM,$0.72,$0.72,$0.70,$0.71,6380
Republican,9/22/2020 12:00:00 AM,$0.31,$0.31,$0.28,$0.29,14977
Democratic,9/22/2020 12:00:00 AM,$0.71,$0.72,$0.70,$0.71,4842
Republican,9/23/2020 12:00:00 AM,$0.29,$0.31,$0.29,$0.31,4578
Democratic,9/23/2020 12:00:00 AM,$0.71,$0.71,$0.70,$0.70,4672
Republican,9/24/2020 12:00:00 AM,$0.31,$0.32,$0.29,$0.30,20507
Democratic,9/24/2020 12:00:00 AM,$0.70,$0.72,$0.70,$0.71,16047
Republican,9/25/2020 12:00:00 AM,$0.30,$0.31,$0.29,$0.30,6208
Democratic,9/25/2020 12:00:00 AM,$0.71,$0.72,$0.70,$0.71,7632
Republican,9/26/2020 12:00:00 AM,$0.30,$0.32,$0.30,$0.32,11154
Democratic,9/26/2020 12:00:00 AM,$0.71,$0.72,$0.70,$0.71,4790
Republican,9/27/2020 12:00:00 AM,$0.32,$0.33,$0.30,$0.30,13536
Democratic,9/27/2020 12:00:00 AM,$0.71,$0.72,$0.70,$0.72,7076
Republican,9/28/2020 12:00:00 AM,$0.30,$0.32,$0.30,$0.31,11631
Democratic,9/28/2020 12:00:00 AM,$0.72,$0.72,$0.71,$0.71,8128
Republican,9/29/2020 12:00:00 AM,$0.31,$0.31,$0.29,$0.29,26963
Democratic,9/29/2020 12:00:00 AM,$0.71,$0.74,$0.71,$0.74,24696
Republican,9/30/2020 12:00:00 AM,$0.29,$0.30,$0.27,$0.27,24766
Democratic,9/30/2020 12:00:00 AM,$0.74,$0.75,$0.73,$0.74,10785
Republican,10/1/2020 12:00:00 AM,$0.27,$0.29,$0.24,$0.25,23037
Democratic,10/1/2020 12:00:00 AM,$0.74,$0.78,$0.73,$0.77,18432
Republican,10/2/2020 12:00:00 AM,$0.25,$0.27,$0.20,$0.23,31050
Democratic,10/2/2020 12:00:00 AM,$0.77,$0.81,$0.74,$0.77,31274
Republican,10/3/2020 12:00:00 AM,$0.23,$0.26,$0.23,$0.24,8744
Democratic,10/3/2020 12:00:00 AM,$0.77,$0.80,$0.76,$0.78,9116
Republican,10/4/2020 12:00:00 AM,$0.24,$0.27,$0.24,$0.27,11040
Democratic,10/4/2020 12:00:00 AM,$0.78,$0.78,$0.75,$0.77,4852
Republican,10/5/2020 12:00:00 AM,$0.27,$0.28,$0.25,$0.26,17909
Democratic,10/5/2020 12:00:00 AM,$0.77,$0.78,$0.74,$0.76,17677
Republican,10/6/2020 12:00:00 AM,$0.26,$0.27,$0.23,$0.24,25239
Democratic,10/6/2020 12:00:00 AM,$0.76,$0.79,$0.74,$0.77,19289
Republican,10/7/2020 12:00:00 AM,$0.24,$0.25,$0.22,$0.22,16630
Democratic,10/7/2020 12:00:00 AM,$0.77,$0.80,$0.77,$0.80,15103
Republican,10/8/2020 12:00:00 AM,$0.22,$0.25,$0.22,$0.23,29641
Democratic,10/8/2020 12:00:00 AM,$0.80,$0.80,$0.77,$0.78,24663
Republican,10/9/2020 12:00:00 AM,$0.23,$0.25,$0.23,$0.23,32572
Democratic,10/9/2020 12:00:00 AM,$0.78,$0.78,$0.76,$0.78,25610
Republican,10/10/2020 12:00:00 AM,$0.23,$0.28,$0.23,$0.26,45310
Democratic,10/10/2020 12:00:00 AM,$0.78,$0.78,$0.75,$0.75,27764
Republican,10/11/2020 12:00:00 AM,$0.26,$0.30,$0.25,$0.25,27440
Democratic,10/11/2020 12:00:00 AM,$0.75,$0.78,$0.74,$0.76,22007
Republican,10/12/2020 12:00:00 AM,$0.25,$0.28,$0.25,$0.28,27480
Democratic,10/12/2020 12:00:00 AM,$0.76,$0.77,$0.75,$0.76,14625
Republican,10/13/2020 12:00:00 AM,$0.28,$0.28,$0.26,$0.27,16579
Democratic,10/13/2020 12:00:00 AM,$0.76,$0.76,$0.74,$0.74,15995
Republican,10/14/2020 12:00:00 AM,$0.27,$0.28,$0.26,$0.26,14625
Democratic,10/14/2020 12:00:00 AM,$0.74,$0.75,$0.73,$0.74,19229
Republican,10/15/2020 12:00:00 AM,$0.26,$0.29,$0.26,$0.27,27663
Democratic,10/15/2020 12:00:00 AM,$0.74,$0.76,$0.73,$0.75,29073
Republican,10/16/2020 12:00:00 AM,$0.27,$0.31,$0.27,$0.30,50410
Democratic,10/16/2020 12:00:00 AM,$0.75,$0.76,$0.71,$0.73,47317
Republican,10/17/2020 12:00:00 AM,$0.30,$0.36,$0.30,$0.34,124246
Democratic,10/17/2020 12:00:00 AM,$0.73,$0.73,$0.68,$0.69,81115
Republican,10/18/2020 12:00:00 AM,$0.34,$0.34,$0.29,$0.33,95837
Democratic,10/18/2020 12:00:00 AM,$0.69,$0.72,$0.67,$0.70,64000
Republican,10/19/2020 12:00:00 AM,$0.33,$0.35,$0.32,$0.34,120105
Democratic,10/19/2020 12:00:00 AM,$0.70,$0.71,$0.68,$0.69,86382
Republican,10/20/2020 12:00:00 AM,$0.34,$0.36,$0.33,$0.36,131421
Democratic,10/20/2020 12:00:00 AM,$0.69,$0.69,$0.66,$0.67,78655
Republican,10/21/2020 12:00:00 AM,$0.36,$0.37,$0.31,$0.32,122736
Democratic,10/21/2020 12:00:00 AM,$0.67,$0.70,$0.67,$0.70,75262
Republican,10/22/2020 12:00:00 AM,$0.32,$0.36,$0.31,$0.35,137131
Democratic,10/22/2020 12:00:00 AM,$0.70,$0.71,$0.66,$0.68,77069
Republican,10/23/2020 12:00:00 AM,$0.35,$0.37,$0.33,$0.35,100012
Democratic,10/23/2020 12:00:00 AM,$0.68,$0.70,$0.65,$0.66,77224
