ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,9/17/2020 12:00:00 AM,$0.26,$0.26,$0.25,$0.25,3843
Democratic,9/17/2020 12:00:00 AM,$0.76,$0.77,$0.75,$0.75,719
Republican,9/18/2020 12:00:00 AM,$0.25,$0.26,$0.23,$0.25,3691
Democratic,9/18/2020 12:00:00 AM,$0.75,$0.77,$0.75,$0.77,3737
Republican,9/19/2020 12:00:00 AM,$0.25,$0.26,$0.25,$0.25,3103
Democratic,9/19/2020 12:00:00 AM,$0.77,$0.77,$0.75,$0.76,6705
Republican,9/20/2020 12:00:00 AM,$0.25,$0.27,$0.24,$0.25,1909
Democratic,9/20/2020 12:00:00 AM,$0.76,$0.76,$0.75,$0.75,1516
Republican,9/21/2020 12:00:00 AM,$0.25,$0.27,$0.25,$0.26,5512
Democratic,9/21/2020 12:00:00 AM,$0.75,$0.77,$0.75,$0.77,5023
Republican,9/22/2020 12:00:00 AM,$0.26,$0.29,$0.26,$0.26,7883
Democratic,9/22/2020 12:00:00 AM,$0.77,$0.77,$0.75,$0.76,2100
Republican,9/23/2020 12:00:00 AM,$0.26,$0.29,$0.25,$0.27,6328
Democratic,9/23/2020 12:00:00 AM,$0.76,$0.76,$0.75,$0.76,3261
Republican,9/24/2020 12:00:00 AM,$0.27,$0.29,$0.24,$0.24,15576
Democratic,9/24/2020 12:00:00 AM,$0.76,$0.77,$0.73,$0.77,20190
Republican,9/25/2020 12:00:00 AM,$0.24,$0.26,$0.24,$0.25,3594
Democratic,9/25/2020 12:00:00 AM,$0.77,$0.77,$0.75,$0.75,5376
Republican,9/26/2020 12:00:00 AM,$0.25,$0.26,$0.24,$0.25,918
Democratic,9/26/2020 12:00:00 AM,$0.75,$0.77,$0.75,$0.76,441
Republican,9/27/2020 12:00:00 AM,$0.25,$0.29,$0.25,$0.26,9534
Democratic,9/27/2020 12:00:00 AM,$0.76,$0.77,$0.74,$0.76,10485
