ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,9/17/2020 12:00:00 AM,$0.39,$0.39,$0.37,$0.37,10401
Democratic,9/17/2020 12:00:00 AM,$0.63,$0.66,$0.63,$0.65,8751
Republican,9/18/2020 12:00:00 AM,$0.37,$0.39,$0.36,$0.38,8865
Democratic,9/18/2020 12:00:00 AM,$0.65,$0.66,$0.64,$0.65,3831
Republican,9/19/2020 12:00:00 AM,$0.38,$0.40,$0.36,$0.38,10208
Democratic,9/19/2020 12:00:00 AM,$0.65,$0.65,$0.64,$0.65,4107
Republican,9/20/2020 12:00:00 AM,$0.38,$0.40,$0.38,$0.39,3945
Democratic,9/20/2020 12:00:00 AM,$0.65,$0.65,$0.63,$0.63,13754
Republican,9/21/2020 12:00:00 AM,$0.39,$0.39,$0.38,$0.39,14587
Democratic,9/21/2020 12:00:00 AM,$0.63,$0.64,$0.62,$0.64,14545
Republican,9/22/2020 12:00:00 AM,$0.39,$0.40,$0.38,$0.40,15568
Democratic,9/22/2020 12:00:00 AM,$0.64,$0.64,$0.61,$0.62,9392
Republican,9/23/2020 12:00:00 AM,$0.40,$0.42,$0.40,$0.41,16849
Democratic,9/23/2020 12:00:00 AM,$0.62,$0.62,$0.60,$0.60,21126
Republican,9/24/2020 12:00:00 AM,$0.41,$0.42,$0.40,$0.40,14212
Democratic,9/24/2020 12:00:00 AM,$0.60,$0.62,$0.60,$0.62,9315
Republican,9/25/2020 12:00:00 AM,$0.40,$0.42,$0.40,$0.41,14525
Democratic,9/25/2020 12:00:00 AM,$0.62,$0.62,$0.60,$0.61,13521
Republican,9/26/2020 12:00:00 AM,$0.41,$0.42,$0.40,$0.42,10157
Democratic,9/26/2020 12:00:00 AM,$0.61,$0.62,$0.59,$0.59,8730
Republican,9/27/2020 12:00:00 AM,$0.42,$0.43,$0.39,$0.40,16871
Democratic,9/27/2020 12:00:00 AM,$0.59,$0.62,$0.59,$0.61,6837
Republican,9/28/2020 12:00:00 AM,$0.40,$0.41,$0.35,$0.38,29735
Democratic,9/28/2020 12:00:00 AM,$0.61,$0.65,$0.60,$0.65,25454
Republican,9/29/2020 12:00:00 AM,$0.38,$0.39,$0.35,$0.36,63687
Democratic,9/29/2020 12:00:00 AM,$0.65,$0.67,$0.63,$0.66,52521
Republican,9/30/2020 12:00:00 AM,$0.36,$0.37,$0.33,$0.33,21755
Democratic,9/30/2020 12:00:00 AM,$0.66,$0.68,$0.66,$0.66,13395
Republican,10/1/2020 12:00:00 AM,$0.33,$0.35,$0.30,$0.30,18350
Democratic,10/1/2020 12:00:00 AM,$0.66,$0.72,$0.66,$0.72,20603
