ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,9/23/2020 12:00:00 AM,$0.36,$0.37,$0.35,$0.37,5555
Democratic,9/23/2020 12:00:00 AM,$0.64,$0.67,$0.64,$0.67,10472
Republican,9/24/2020 12:00:00 AM,$0.37,$0.37,$0.35,$0.36,2433
Democratic,9/24/2020 12:00:00 AM,$0.67,$0.67,$0.64,$0.67,5617
Republican,9/25/2020 12:00:00 AM,$0.36,$0.37,$0.35,$0.35,9619
Democratic,9/25/2020 12:00:00 AM,$0.67,$0.67,$0.65,$0.67,9878
Republican,9/26/2020 12:00:00 AM,$0.35,$0.37,$0.35,$0.36,9622
Democratic,9/26/2020 12:00:00 AM,$0.67,$0.67,$0.64,$0.64,4688
Republican,9/27/2020 12:00:00 AM,$0.36,$0.37,$0.35,$0.35,15115
Democratic,9/27/2020 12:00:00 AM,$0.64,$0.68,$0.64,$0.67,10026
Republican,9/28/2020 12:00:00 AM,$0.35,$0.36,$0.32,$0.33,10984
Democratic,9/28/2020 12:00:00 AM,$0.67,$0.68,$0.67,$0.68,7523
Republican,9/29/2020 12:00:00 AM,$0.33,$0.35,$0.32,$0.33,15743
Democratic,9/29/2020 12:00:00 AM,$0.68,$0.68,$0.66,$0.68,18678
Republican,9/30/2020 12:00:00 AM,$0.33,$0.34,$0.31,$0.31,22396
Democratic,9/30/2020 12:00:00 AM,$0.68,$0.70,$0.67,$0.70,18746
Republican,10/1/2020 12:00:00 AM,$0.31,$0.32,$0.26,$0.29,15318
Democratic,10/1/2020 12:00:00 AM,$0.70,$0.75,$0.69,$0.75,19330
Republican,10/2/2020 12:00:00 AM,$0.29,$0.30,$0.23,$0.29,30317
Democratic,10/2/2020 12:00:00 AM,$0.75,$0.79,$0.73,$0.74,37378
Republican,10/3/2020 12:00:00 AM,$0.29,$0.29,$0.26,$0.27,16711
Democratic,10/3/2020 12:00:00 AM,$0.74,$0.76,$0.73,$0.74,18760
Republican,10/4/2020 12:00:00 AM,$0.27,$0.32,$0.27,$0.31,8830
Democratic,10/4/2020 12:00:00 AM,$0.74,$0.74,$0.71,$0.73,8808
Republican,10/5/2020 12:00:00 AM,$0.31,$0.32,$0.29,$0.32,9964
Democratic,10/5/2020 12:00:00 AM,$0.73,$0.74,$0.71,$0.71,8436
Republican,10/6/2020 12:00:00 AM,$0.32,$0.32,$0.26,$0.28,17291
Democratic,10/6/2020 12:00:00 AM,$0.71,$0.75,$0.71,$0.73,18824
Republican,10/7/2020 12:00:00 AM,$0.28,$0.29,$0.25,$0.27,20268
Democratic,10/7/2020 12:00:00 AM,$0.73,$0.78,$0.73,$0.77,21986
Republican,10/8/2020 12:00:00 AM,$0.27,$0.30,$0.26,$0.28,25447
Democratic,10/8/2020 12:00:00 AM,$0.77,$0.78,$0.72,$0.74,23143
Republican,10/9/2020 12:00:00 AM,$0.28,$0.29,$0.27,$0.28,16999
Democratic,10/9/2020 12:00:00 AM,$0.74,$0.74,$0.72,$0.73,10112
Republican,10/10/2020 12:00:00 AM,$0.28,$0.36,$0.27,$0.31,52436
Democratic,10/10/2020 12:00:00 AM,$0.73,$0.74,$0.69,$0.72,35055
Republican,10/11/2020 12:00:00 AM,$0.31,$0.32,$0.29,$0.30,20299
Democratic,10/11/2020 12:00:00 AM,$0.72,$0.73,$0.69,$0.72,18340
Republican,10/12/2020 12:00:00 AM,$0.30,$0.32,$0.28,$0.31,49810
Democratic,10/12/2020 12:00:00 AM,$0.72,$0.73,$0.71,$0.72,19632
Republican,10/13/2020 12:00:00 AM,$0.31,$0.32,$0.30,$0.31,33131
Democratic,10/13/2020 12:00:00 AM,$0.72,$0.72,$0.70,$0.70,15917
Republican,10/14/2020 12:00:00 AM,$0.31,$0.32,$0.30,$0.32,19955
Democratic,10/14/2020 12:00:00 AM,$0.70,$0.72,$0.70,$0.71,20226
Republican,10/15/2020 12:00:00 AM,$0.32,$0.32,$0.30,$0.31,23260
Democratic,10/15/2020 12:00:00 AM,$0.71,$0.72,$0.69,$0.71,27115
Republican,10/16/2020 12:00:00 AM,$0.31,$0.32,$0.30,$0.31,28296
Democratic,10/16/2020 12:00:00 AM,$0.71,$0.72,$0.70,$0.72,18712
Republican,10/17/2020 12:00:00 AM,$0.31,$0.32,$0.29,$0.31,43827
Democratic,10/17/2020 12:00:00 AM,$0.72,$0.73,$0.70,$0.72,27405
Republican,10/18/2020 12:00:00 AM,$0.31,$0.32,$0.30,$0.31,41722
Democratic,10/18/2020 12:00:00 AM,$0.72,$0.73,$0.70,$0.71,28578
Republican,10/19/2020 12:00:00 AM,$0.31,$0.36,$0.31,$0.35,64988
Democratic,10/19/2020 12:00:00 AM,$0.71,$0.72,$0.67,$0.69,51053
Republican,10/20/2020 12:00:00 AM,$0.35,$0.36,$0.32,$0.36,60354
Democratic,10/20/2020 12:00:00 AM,$0.69,$0.70,$0.66,$0.67,45849
Republican,10/21/2020 12:00:00 AM,$0.36,$0.37,$0.32,$0.33,71521
Democratic,10/21/2020 12:00:00 AM,$0.67,$0.69,$0.66,$0.69,62325
Republican,10/22/2020 12:00:00 AM,$0.33,$0.36,$0.33,$0.35,64420
Democratic,10/22/2020 12:00:00 AM,$0.69,$0.69,$0.67,$0.67,39847
Republican,10/23/2020 12:00:00 AM,$0.35,$0.37,$0.33,$0.37,66430
Democratic,10/23/2020 12:00:00 AM,$0.67,$0.69,$0.65,$0.65,46774
Republican,10/24/2020 12:00:00 AM,$0.37,$0.40,$0.35,$0.38,85098
Democratic,10/24/2020 12:00:00 AM,$0.65,$0.67,$0.62,$0.63,50369
Republican,10/25/2020 12:00:00 AM,$0.38,$0.39,$0.36,$0.36,63308
Democratic,10/25/2020 12:00:00 AM,$0.63,$0.67,$0.62,$0.66,50986
Republican,10/26/2020 12:00:00 AM,$0.36,$0.37,$0.34,$0.35,120577
Democratic,10/26/2020 12:00:00 AM,$0.66,$0.69,$0.64,$0.67,117873
Republican,10/27/2020 12:00:00 AM,$0.35,$0.37,$0.33,$0.36,126225
Democratic,10/27/2020 12:00:00 AM,$0.67,$0.68,$0.64,$0.64,107180
